2026-05-11 21:46:58 | FCX | Score:15 | Price:64.37 | RSI:56.48
2026-05-11 21:46:58 | MP | Score:15 | Price:67.41 | RSI:57.04
2026-05-11 21:46:58 | NXT | Score:15 | Price:126.26 | RSI:57.45
2026-05-11 21:46:58 | ARM | Score:13 | Price:212.65 | RSI:59.61
2026-05-11 21:46:58 | SLB | Score:13 | Price:54.93 | RSI:55.66
2026-05-11 21:46:58 | ETN | Score:13 | Price:419.0 | RSI:56.82
2026-05-11 21:46:58 | HAL | Score:12 | Price:40.26 | RSI:54.34
2026-05-11 21:46:58 | AMKR | Score:11 | Price:76.69 | RSI:65.94
2026-05-11 21:46:58 | ON | Score:10 | Price:107.24 | RSI:74.97
2026-05-11 21:46:58 | JCI | Score:10 | Price:141.78 | RSI:52.93
2026-05-11 21:46:58 | TT | Score:10 | Price:476.5 | RSI:54.0
2026-05-11 21:46:58 | AA | Score:10 | Price:65.34 | RSI:50.91
2026-05-11 21:46:58 | CLF | Score:10 | Price:11.24 | RSI:63.69
2026-05-11 21:46:58 | MRVL | Score:9 | Price:170.84 | RSI:69.29
2026-05-11 21:46:58 | ACMR | Score:9 | Price:64.67 | RSI:72.63
2026-05-11 21:46:58 | ARRY | Score:9 | Price:8.73 | RSI:64.5
2026-05-11 21:46:58 | FANG | Score:8 | Price:196.15 | RSI:51.37
2026-05-11 21:46:58 | EMR | Score:8 | Price:139.43 | RSI:49.15
2026-05-11 21:46:58 | PWR | Score:8 | Price:781.38 | RSI:76.01
2026-05-11 21:46:58 | FLNC | Score:8 | Price:25.23 | RSI:83.36
2026-05-11 21:46:58 | AMD | Score:7 | Price:458.79 | RSI:81.09
2026-05-11 21:46:58 | MU | Score:7 | Price:795.33 | RSI:85.84
2026-05-11 21:46:58 | QCOM | Score:7 | Price:237.53 | RSI:88.39
2026-05-11 21:46:58 | BKR | Score:6 | Price:64.6 | RSI:50.23
2026-05-11 21:46:58 | OXY | Score:6 | Price:55.14 | RSI:43.98
2026-05-11 21:46:58 | DVN | Score:6 | Price:46.73 | RSI:45.71
2026-05-11 21:46:58 | APA | Score:6 | Price:36.7 | RSI:44.71
2026-05-12 22:16:02 | AMKR | Score:15 | Price:73.45 | RSI:59.44
2026-05-12 22:16:02 | SLB | Score:15 | Price:55.64 | RSI:58.23
2026-05-12 22:16:02 | HAL | Score:15 | Price:41.7 | RSI:60.63
2026-05-12 22:16:02 | FCX | Score:15 | Price:66.03 | RSI:59.53
2026-05-12 22:16:02 | NXT | Score:15 | Price:125.37 | RSI:56.48
2026-05-12 22:16:02 | MRVL | Score:13 | Price:164.5 | RSI:62.76
2026-05-12 22:16:02 | ARM | Score:13 | Price:207.92 | RSI:57.28
2026-05-12 22:16:02 | AA | Score:13 | Price:67.62 | RSI:56.56
2026-05-12 22:16:02 | CLF | Score:12 | Price:10.79 | RSI:57.58
2026-05-12 22:16:02 | MP | Score:12 | Price:65.59 | RSI:53.72
2026-05-12 22:16:02 | ON | Score:11 | Price:104.11 | RSI:68.73
2026-05-12 22:16:02 | ACMR | Score:10 | Price:62.99 | RSI:68.33
2026-05-12 22:16:02 | BKR | Score:10 | Price:65.24 | RSI:52.3
2026-05-12 22:16:02 | FLNC | Score:10 | Price:21.28 | RSI:65.69
2026-05-12 22:16:02 | QCOM | Score:8 | Price:210.31 | RSI:68.61
2026-05-12 22:16:02 | FANG | Score:8 | Price:198.15 | RSI:53.17
2026-05-12 22:16:02 | PWR | Score:8 | Price:765.81 | RSI:70.94
2026-05-12 22:16:02 | ARRY | Score:8 | Price:8.17 | RSI:53.91
2026-05-12 22:16:02 | AMD | Score:7 | Price:448.29 | RSI:77.23
2026-05-12 22:16:02 | MU | Score:7 | Price:766.58 | RSI:79.4
2026-05-12 22:16:02 | OXY | Score:6 | Price:56.27 | RSI:47.27
2026-05-12 22:16:02 | DVN | Score:6 | Price:46.77 | RSI:45.87
2026-05-12 22:16:02 | APA | Score:6 | Price:37.09 | RSI:46.11
2026-05-12 22:16:02 | EMR | Score:6 | Price:137.28 | RSI:46.38
2026-05-12 22:16:02 | JCI | Score:6 | Price:141.04 | RSI:51.25
2026-05-15 07:48:04 | SLB | Score:15 | Price:55.37 | RSI:56.29
2026-05-15 07:48:04 | HAL | Score:15 | Price:41.36 | RSI:58.18
2026-05-15 07:48:04 | ARM | Score:13 | Price:212.44 | RSI:56.2
2026-05-15 07:48:04 | FLNC | Score:13 | Price:19.87 | RSI:59.12
2026-05-15 07:48:04 | FCX | Score:12 | Price:63.0 | RSI:51.06
2026-05-15 07:48:04 | ARRY | Score:12 | Price:8.7 | RSI:59.57
2026-05-15 07:48:04 | ON | Score:11 | Price:112.54 | RSI:68.51
2026-05-15 07:48:04 | QCOM | Score:11 | Price:206.23 | RSI:63.84
2026-05-15 07:48:04 | ACMR | Score:11 | Price:61.47 | RSI:62.17
2026-05-15 07:48:04 | FANG | Score:11 | Price:203.15 | RSI:57.48
2026-05-15 07:48:04 | OXY | Score:10 | Price:58.44 | RSI:53.64
2026-05-15 07:48:04 | DVN | Score:10 | Price:48.4 | RSI:53.04
2026-05-15 07:48:04 | JCI | Score:10 | Price:142.79 | RSI:53.58
2026-05-15 07:48:04 | MRVL | Score:9 | Price:178.62 | RSI:67.41
2026-05-15 07:48:04 | PWR | Score:9 | Price:769.96 | RSI:69.28
2026-05-15 07:48:04 | NXT | Score:9 | Price:140.06 | RSI:65.09
2026-05-15 07:48:04 | AMD | Score:8 | Price:433.31 | RSI:70.4
2026-05-15 07:48:04 | MU | Score:8 | Price:734.11 | RSI:67.82
2026-05-15 07:48:04 | AA | Score:8 | Price:62.3 | RSI:42.96
2026-05-15 07:48:04 | AMKR | Score:6 | Price:70.52 | RSI:53.3
2026-05-15 07:48:04 | BKR | Score:6 | Price:64.57 | RSI:49.73
2026-05-15 07:48:04 | APA | Score:6 | Price:37.82 | RSI:49.16
2026-05-15 07:48:04 | MP | Score:6 | Price:61.09 | RSI:46.51
2026-05-15 07:48:04 | CLF | Score:5 | Price:10.34 | RSI:50.99
